bar_id	start_node	x1	y1	z1	end_node	x2	y2	z2	L	storey
2314	2039	30.332	9.473	6	2115	30.332	12.973	6	3.5	2F
373	3900	8.73591363	31.20407699	6	23465	11.06138193	29.37301428	6	2.9598299718493	2F
375	2140	9.806	27.93	6	23465	11.06138193	29.37301428	6	1.91266149709102	2F
380	2235	1.379	36.365	6	3898	1.58981803	36.83074959	6	0.511240571901576	2F
2315	2134	18.721	11.373	6	2233	22.091	9.474	6	3.86821677262276	2F
2316	2233	22.091	9.474	6	2158	24.649	9.473	6	2.5580001954652	2F
2317	2082	22.091	6.474	6	2233	22.091	9.474	6	3	2F
2318	2233	22.091	9.474	6	2135	22.091	13.874	6	4.4	2F
394	3898	1.58981803	36.83074959	6	3408	3.56510765	41.1946568	6	4.79014146141528	2F
392	23425	0.04999244	41.18469177	6	3453	1.07639641	43.45227402	6	2.48906295021778	2F
445	3408	3.56510765	41.1946568	6	1087	5.53944129	45.55931723	6	4.79043359115263	2F
460	2142	0.443	31.777	6	1088	1.09478493	32.12151113	6	0.737232333575368	2F
2322	2139	9.918	24.632	6	2027	13.543	27.419	6	4.5725259977391	2F
2323	2237	0.782	36.835	6	2235	1.379	36.365	6	0.759808528512282	2F
2324	2142	0.443	31.777	6	2237	0.782	36.835	6	5.06934759116003	2F
2128	4850	4.563	29.449	6	2032	6.34632211	31.71414363	6	2.88290017387776	2F
